GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD04,HD01_VD06,HD01_VD08,HD01_VD10,HD01_VD11,HD01_VD13,HD01_VD14,HD01_VD16,HD01_VD17,HD01_VD19,HD01_VD20,HD01_VD22,HD01_VD23,HD01_VD25,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD32,HD01_VD33,HD01_VD35,HD01_VD36,HD01_VD38,HD01_VD39,HD01_VD41,HD01_VD42
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Veteran,Estimate; Total: - Male:,Estimate; Total: - Male: - Veteran,Estimate; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Female:,Estimate; Total: - Female: - Veteran,Estimate; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran
0500000US21067,21067,"Fayette County, Kentucky",251106,14691,121705,13667,47842,904,39996,3433,17557,2283,10374,3967,5936,3080,129401,1024,47034,12,40315,561,19739,361,12529,45,9784,45
0500000US21093,21093,"Hardin County, Kentucky",78352,15213,37402,10947,11786,601,13196,4349,6289,2511,3882,1974,2249,1512,40950,4266,11667,1182,13717,2083,7490,768,4855,182,3221,51
0500000US21111,21111,"Jefferson County, Kentucky",593468,47851,282027,44761,88581,2906,95044,10118,48949,8379,30839,12794,18614,10564,311441,3090,89752,787,99634,1479,54691,418,36288,206,31076,200
0500000US21117,21117,"Kenton County, Kentucky",124989,8980,61003,8278,18739,427,21863,2309,10940,1895,6051,2225,3410,1422,63986,702,18773,116,21575,293,11127,293,7079,0,5432,0
0500000US21145,21145,"McCracken County, Kentucky",50754,4879,23885,4371,6786,349,7459,815,4386,644,3176,1689,2078,874,26869,508,6551,0,8330,174,4890,126,3736,64,3362,144
0500000US21151,21151,"Madison County, Kentucky",70514,6596,32886,5895,12354,425,10520,1887,4897,1175,3348,1581,1767,827,37628,701,14639,262,10945,240,5598,127,3706,0,2740,72
0500000US21185,21185,"Oldham County, Kentucky",48600,5168,25184,4591,7005,208,10608,1499,3855,539,2588,1579,1128,766,23416,577,5237,160,10017,399,3854,0,2785,18,1523,0
0500000US21227,21227,"Warren County, Kentucky",96798,6147,47041,5950,18864,327,14733,1802,6467,344,4616,2188,2361,1289,49757,197,18562,0,15188,142,7359,55,4925,0,3723,0
0500000US22005,22005,"Ascension Parish, Louisiana",88231,4721,42638,4655,13806,799,16370,1710,6412,185,3982,939,2068,1022,45593,66,13296,0,17944,66,6954,0,4373,0,3026,0
0500000US22015,22015,"Bossier Parish, Louisiana",87710,10654,40105,9030,12431,1745,13390,1549,7143,1923,4384,2193,2757,1620,47605,1624,14971,872,15160,365,7792,268,5554,119,4128,0
0500000US22017,22017,"Caddo Parish, Louisiana",188055,17718,87243,16591,27037,940,28490,3939,15006,4148,10150,4015,6560,3549,100812,1127,29386,273,31062,331,17684,417,12373,58,10307,48
0500000US22019,22019,"Calcasieu Parish, Louisiana",150693,11180,71960,9746,23109,827,24354,2259,12286,1776,7589,2470,4622,2414,78733,1434,24437,429,25113,888,13471,40,8955,77,6757,0
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",345817,19070,162352,17359,65216,2044,47875,3310,24511,2680,15945,4369,8805,4956,183465,1711,66631,200,53577,676,29278,439,19620,219,14359,177
0500000US22045,22045,"Iberia Parish, Louisiana",53562,2256,25639,2256,7404,118,8754,341,4680,245,2850,1094,1951,458,27923,0,7208,0,10073,0,5020,0,3040,0,2582,0
0500000US22051,22051,"Jefferson Parish, Louisiana",340235,20808,162588,19789,49561,2016,54239,3873,28845,2569,18627,6085,11316,5246,177647,1019,49646,274,56395,493,31639,154,22272,98,17695,0
0500000US22055,22055,"Lafayette Parish, Louisiana",183790,10085,87822,9181,31640,810,30326,2832,13557,1017,7927,2661,4372,1861,95968,904,33919,0,30595,394,15335,257,8914,253,7205,0
0500000US22057,22057,"Lafourche Parish, Louisiana",74923,3352,36129,3208,11171,443,12672,619,6100,323,3909,877,2277,946,38794,144,11678,0,13050,57,6155,0,4619,87,3292,0
0500000US22063,22063,"Livingston Parish, Louisiana",103530,6385,51048,6121,16285,342,18805,1439,7581,881,5708,1732,2669,1727,52482,264,15252,0,19567,121,8290,143,5876,0,3497,0
0500000US22071,22071,"Orleans Parish, Louisiana",310846,16673,145613,15092,51564,791,47816,3321,24562,3790,14228,4004,7443,3186,165233,1581,57231,188,51573,625,27168,450,16875,231,12386,87
0500000US22073,22073,"Ouachita Parish, Louisiana",117144,8898,55053,7694,18299,800,18348,1565,9100,1857,5839,1815,3467,1657,62091,1204,19344,412,19915,434,9984,121,7150,72,5698,165
0500000US22079,22079,"Rapides Parish, Louisiana",98373,9188,46940,7766,13926,626,16198,1369,8069,1531,5470,1925,3277,2315,51433,1422,14510,473,16318,517,8986,331,6368,101,5251,0
0500000US22097,22097,"St. Landry Parish, Louisiana",61167,3333,28765,3110,8582,0,9365,749,5203,381,3475,1078,2140,902,32402,223,9137,0,10227,193,5715,30,4012,0,3311,0
0500000US22103,22103,"St. Tammany Parish, Louisiana",192193,16916,92011,14978,24071,1068,32615,4576,17048,2656,11817,3669,6460,3009,100182,1938,24266,137,35345,1100,18430,106,13497,74,8644,521
0500000US22105,22105,"Tangipahoa Parish, Louisiana",98587,5815,47007,5500,15325,211,15997,2090,7634,459,5554,1644,2497,1096,51580,315,16644,0,16616,148,8640,82,5783,85,3897,0
0500000US22109,22109,"Terrebonne Parish, Louisiana",83941,4066,40474,3604,13557,283,13433,708,7012,766,4402,999,2070,848,43467,462,13247,462,14752,0,6810,0,5290,0,3368,0
0500000US23001,23001,"Androscoggin County, Maine",84271,8708,41081,8003,11395,591,14232,1707,7467,1607,4929,2526,3058,1572,43190,705,11335,345,14264,203,7608,81,5575,0,4408,76
0500000US23003,23003,"Aroostook County, Maine",55433,6488,27179,6048,6433,487,8173,1110,5651,1245,4310,1736,2612,1470,28254,440,5979,0,8219,133,5709,61,4471,178,3876,68
0500000US23005,23005,"Cumberland County, Maine",235408,15856,112348,14828,32134,461,37939,2970,20358,2535,13937,3967,7980,4895,123060,1028,31960,0,40810,503,22101,209,15623,316,12566,0
0500000US23011,23011,"Kennebec County, Maine",96700,9717,46823,8739,12418,390,15290,1914,9382,1927,6103,2070,3630,2438,49877,978,12078,69,16009,318,9858,328,6539,171,5393,92
0500000US23019,23019,"Penobscot County, Maine",123610,11371,60383,10442,19248,320,18198,2421,10908,1831,7341,2884,4688,2986,63227,929,17694,48,19351,356,11684,256,7900,157,6598,112
0500000US23031,23031,"York County, Maine",162134,16123,76962,15127,18230,872,25972,2945,15446,2723,10803,4211,6511,4376,85172,996,19707,0,27066,395,17186,188,11922,193,9291,220
0500000US24001,24001,"Allegany County, Maryland",59253,5643,30740,5530,9935,509,9791,1057,4716,764,3761,1640,2537,1560,28513,113,8067,0,7787,48,4860,0,4069,44,3730,21
0500000US24003,24003,"Anne Arundel County, Maryland",431371,51163,208419,45278,63497,6490,73972,11088,36004,8644,22274,11001,12672,8055,222952,5885,61287,1530,79127,2718,38062,1436,25896,201,18580,0
0500000US24005,24005,"Baltimore County, Maryland",649825,45636,302000,41505,92791,2506,99576,9024,51711,5087,33967,12231,23955,12657,347825,4131,96877,1887,111019,1002,60306,557,41665,236,37958,449
0500000US24009,24009,"Calvert County, Maryland",69164,8628,33220,7533,9136,337,11877,2471,6151,1789,4156,1800,1900,1136,35944,1095,8488,36,13910,656,6573,264,4042,139,2931,0
0500000US24013,24013,"Carroll County, Maryland",130981,12548,64307,11683,16997,665,22739,3435,12326,1756,7981,3178,4264,2649,66674,865,15395,159,24018,333,12180,116,8662,191,6419,66
0500000US24015,24015,"Cecil County, Maryland",78844,6762,38755,6370,11122,592,13288,1366,7227,1106,4813,1885,2305,1421,40089,392,10363,85,13887,191,7976,49,4660,67,3203,0
0500000US24017,24017,"Charles County, Maryland",117745,15419,54993,12564,16160,875,20978,5205,9445,2460,5736,2630,2674,1394,62752,2855,17369,254,24640,2038,10283,407,6367,63,4093,93
0500000US24021,24021,"Frederick County, Maryland",188540,15990,91750,14169,25638,1169,34896,4534,16235,2421,9632,3474,5349,2571,96790,1821,25821,199,35643,925,16461,489,10895,106,7970,102
0500000US24025,24025,"Harford County, Maryland",192505,18534,91399,16779,24759,1335,32622,5247,17129,2758,11122,4157,5767,3282,101106,1755,25235,117,35491,1100,18709,396,12302,142,9369,0
0500000US24027,24027,"Howard County, Maryland",237274,16692,113324,14553,30921,1348,44369,4484,19685,1934,11919,3957,6430,2830,123950,2139,31958,226,47868,1153,21063,657,13977,103,9084,0
0500000US24031,24031,"Montgomery County, Maryland",795916,42811,375943,36611,106864,3970,139761,8631,64150,5189,39603,9501,25565,9320,419973,6200,109346,2002,152218,1346,71968,1921,46703,470,39738,461
0500000US24033,24033,"Prince George's County, Maryland",701625,56209,331436,46196,113512,2687,119612,13466,51911,10775,30918,11127,15483,8141,370189,10013,112128,2124,130172,4416,62465,2634,40271,349,25153,490
0500000US24037,24037,"St. Mary's County, Maryland",83240,9784,40106,9136,12508,914,14120,2943,7010,2512,3885,1714,2583,1053,43134,648,13651,64,14976,480,7010,104,4452,0,3045,0
0500000US24043,24043,"Washington County, Maryland",116664,10029,59053,9277,17337,507,20952,2670,9909,1287,6543,2433,4312,2380,57611,752,14314,87,19345,399,10323,107,7128,45,6501,114
0500000US24045,24045,"Wicomico County, Maryland",79954,7416,37013,6902,12828,605,11565,1617,5947,1671,4312,1527,2361,1482,42941,514,14932,130,12263,306,7026,78,4838,0,3882,0
0500000US24510,24510,"Baltimore city, Maryland",484522,25750,223761,23090,84891,1574,71963,4873,35450,6299,19651,5782,11806,4562,260761,2660,92984,427,78326,831,41660,580,27137,662,20654,160
0500000US25001,25001,"Barnstable County, Massachusetts",180125,18353,85464,17365,17546,926,22862,2206,16979,2115,16452,5647,11625,6471,94661,988,15527,157,24094,247,19807,376,18889,92,16344,116
0500000US25003,25003,"Berkshire County, Massachusetts",104774,8744,49605,8191,13017,945,14828,736,9482,1188,7418,2533,4860,2789,55169,553,12947,269,15414,82,11330,86,8263,90,7215,26
0500000US25005,25005,"Bristol County, Massachusetts",441933,30161,211226,27913,61254,2219,73924,4641,37008,4213,23953,8754,15087,8086,230707,2248,61105,357,77478,875,39838,539,27665,166,24621,311
0500000US25009,25009,"Essex County, Massachusetts",610140,33201,288863,31701,83876,2109,98454,4362,52118,4279,33367,9311,21048,11640,321277,1500,83142,116,107607,696,57495,368,39222,66,33811,254
0500000US25011,25011,"Franklin County, Massachusetts",57971,4739,27780,4595,6546,41,8973,582,5932,1131,4293,1542,2036,1299,30191,144,6692,78,9581,66,6481,0,4470,0,2967,0
0500000US25013,25013,"Hampden County, Massachusetts",364933,25233,173134,23714,55554,1728,55434,4408,30639,4176,19273,7073,12234,6329,191799,1519,55188,200,60997,594,32878,270,22723,186,20013,269
0500000US25015,25015,"Hampshire County, Massachusetts",136978,9580,62667,9070,23783,596,17693,1915,9593,1309,7545,2819,4053,2431,74311,510,30148,90,17927,77,11516,240,8048,0,6672,103
0500000US25017,25017,"Middlesex County, Massachusetts",1266558,58801,611275,54938,201549,3884,211552,10776,98458,7755,59987,14501,39729,18022,655283,3863,197900,831,219834,1255,105489,858,70392,577,61668,342
0500000US25021,25021,"Norfolk County, Massachusetts",548161,29106,258163,27765,72007,1550,91989,4284,45955,4410,28831,7694,19381,9827,289998,1341,76070,85,98345,773,50203,61,33904,86,31476,336
0500000US25023,25023,"Plymouth County, Massachusetts",400881,30005,191771,28518,50229,1174,66683,4650,36067,5463,24621,9015,14171,8216,209110,1487,49352,110,70895,416,39010,347,28633,221,21220,393
0500000US25025,25025,"Suffolk County, Massachusetts",649103,18462,311372,17821,141273,1718,94533,4735,38374,2742,22779,4177,14413,4449,337731,641,147457,243,95974,50,42548,285,28139,63,23613,0
0500000US25027,25027,"Worcester County, Massachusetts",642576,43203,313671,40419,94165,2827,109285,7951,56414,7453,33836,11986,19971,10202,328905,2784,90747,305,112497,1287,57652,519,36713,88,31296,585
